Mass (kg),r_cg_x (mm),r_cg_y (mm),r_cg_z (mm),Ixx (kg mm2),Iyx (kg mm2),Iyy (kg mm2),Izx (kg mm2),Izy (kg mm2),Izz (kg mm2)
10.591,-2553.322,0,0,321626.406,4.539,69216740.576,2.374,0,69216740.576
37.88,-2495.095,0,0,2067774.907,13.615,236931401.447,7.121,0,236931401.447
78.344,-2438.082,0,0,5838227.851,23.181,468953938.370,12.125,0,468953938.370
128.46,-2382.602,0,0,11595750.25,30.522,736027482.255,15.964,0,736027482.255
184.705,-2329.037,0,0,18836415.52,34.104,1013572051.744,17.838,0,1013572051.744
243.557,-2277.899,0,0,26759931.72,33.425,1281429063.529,17.482,0,1281429063.529
301.493,-2229.894,0,0,34439967.75,28.848,1523605840.536,15.089,0,1523605840.536
354.99,-2186.032,0,0,40994479.66,21.449,1728020119.284,11.219,0,1728020119.284
400.526,-2147.805,0,0,45756036.88,12.857,1886244557.480,6.725,0,1886244557.480
434.578,-2117.523,0,0,48442148.46,5.095,1993251241.557,2.665,0,1993251241.557